Model;Subcategories;Based_On
Mutant Filter;Mono, Stereo;Musitronics Mu-Tron III
Mystery Filter;Mono, Stereo;Korg A3
Autofilter;Mono, Stereo;Line 6 Original
Voice Box;Legacy;Line 6 Original
V Tron;Legacy;Musitronics Mu-Tron III
Q Filter;Legacy;Line 6 Original
Seeker;Legacy;Z Vex Seek Wah
Obi Wah;Legacy;Oberheim voltage-controlled S&H filter
Tron Up;Legacy;Musitronics Mu-Tron III (up position)
Tron Down;Legacy;Musitronics Mu-Tron III (down position)
Throbber;Legacy;Electrix Filter Factory
Slow Filter;Legacy;Line 6 Original
Spin Cycle;Legacy;Craig Anderton's Wah/Anti-Wah
Comet Trails;Legacy;Line 6 Original
